hearing_url,name,profile_url,affiliation,description
https://www.uscc.gov/hearings/assessment-ccps-economic-ambitions-plans-and-metrics-success,Matt Pottinger,https://www.uscc.gov/sites/default/files/2021-04/Matt_Pottinger_Bio.pdf,"Distinguished Visiting Fellow, Hoover Institution Matt Pottinger is a Distinguished Visiting Fellow at the Hoover Institution","Distinguished Visiting Fellow, Hoover Institution Matt Pottinger is a Distinguished Visiting Fellow at the Hoover Institution.  Matt served at the White House for four years in senior roles on the National Security Council staff, including as Deputy National Security Advisor from 2019 to 2021.  In that role, Matt coordinated the full spectrum of national security policy.  Before that he served as Senior Director for Asia, where he led the administration’s work on the Indo-Pacific region, and in particular its shift on China policy. Before his White House service, Matt spent the late 1990s and early 2000s in China as a reporter for Reuters and The Wall Street Journal.  He then fought in Iraq and Afghanistan as a U.S. Marine during three combat deployments between 2007 and 2010.  Following active duty, Matt founded and led an Asia-focused risk consultancy and ran Asia research at an investment fund in New York. Mr. Pottinger has not previously testified before the Commission."
https://www.uscc.gov/hearings/assessment-ccps-economic-ambitions-plans-and-metrics-success,Miles Yu,https://www.uscc.gov/sites/default/files/2021-04/Miles_Yu_Bio.pdf,"Senior Fellow, Hudson Institute; Visiting Fellow, Hoover Institution Miles Yu is a senior fellow at the Hudson Institute","Senior Fellow, Hudson Institute; Visiting Fellow, Hoover Institution Miles Yu is a senior fellow at the Hudson Institute. He is also a professor of East Asia and Military/Naval History at the United States Naval Academy in Annapolis, Maryland. Dr. Yu specializes in Chinese military and strategic culture, U.S. and Chinese military and diplomatic history, and U.S. policy toward China. Dr. Yu joined the Trump administration and served as the China policy adviser to Secretary of State Mike Pompeo. In that capacity, he advised the Secretary on all China-related issues, helped overhaul U.S. policy toward China, and participated in key U.S. government interagency deliberations on major policy and government actions with regard to China and other East Asian countries, including Japan, South Korea and Taiwan. He is a Visiting Fellow at the Hoover Institution as a member of the Military History/Contemporary Conflict Working Group. From 2011-2016, he wrote the weekly column “Inside China” for the Washington Times. Since 1996, he has been an editorial consultant to Radio Free Asia, and a contributor to various media outlets including the Wall Street Journal and PBS News Hour. Dr. Yu has published widely on topics in his field. His books include OSS in China: Prelude to Cold War (Yale University Press, 1997) and The Dragon’s War: Allied Operations and the Fate of China, 1937–1947 (Naval Institute Press, 2006). He is the author of many scholarly articles on China, military and intelligence history, and newspaper columns about contemporary Chinese political and military affairs. His numerous awards include the US Naval Academy’s top researcher award, U.S. Navy Special Action Awards, and U.S. Navy Meritorious Service Award. Dr. Yu received a doctorate in history from the University of California, Berkeley, a master’s degree from Swarthmore College, and a bachelor’s degree from Nankai University. Dr. Yu last testified before the Commission during its 2005 hearing on “China’s State Control Mechanisms and Methods.”"
https://www.uscc.gov/hearings/assessment-ccps-economic-ambitions-plans-and-metrics-success,Loren Brandt,https://www.uscc.gov/sites/default/files/2021-04/Loren_Brandt_Bio.pdf,"Noranda Chair Professor of Economics, University of Toronto Loren Brandt is the Noranda Chair Professor of Economics at the University of Toronto specializing in the Chinese economy","Noranda Chair Professor of Economics, University of Toronto Loren Brandt is the Noranda Chair Professor of Economics at the University of Toronto specializing in the Chinese economy. He is also a research fellow at the IZA (The Institute for the Study of Labor) in Bonn, Germany. He has published widely on the Chinese economy in leading economic journals, and been involved in extensive household and enterprise survey work in both China and Vietnam. With Thomas Rawski, he recently completed Policy, Regulation, and Innovation in China’s Electricity and Telecom Industries (Cambridge University Press, 2019), an interdisciplinary effort analyzing the effect of government policy on the power and telecom sectors in China. He was also co-editor and major contributor to China’s Great Economic Transformation (Cambridge University Press, 2008), which provides an integrated analysis of China’s unexpected economic boom of the past three decades. Brandt was also one of the area editors for Oxford University Press’ five-volume Encyclopedia of Economic History (2003). His current research focuses on issues of industrial upgrading in China, inequality dynamics, and economic growth and structural change. Dr. Brandt has not previously testified before the Commission."
https://www.uscc.gov/hearings/assessment-ccps-economic-ambitions-plans-and-metrics-success,Jude Blanchette,https://www.uscc.gov/sites/default/files/2021-04/Jude_Blanchette_Bio.pdf,"Freeman Chair in China Studies, Center for Strategic and International Studies Jude Blanchette holds the Freeman Chair in China Studies at the Center for Strategic and International Studies (CSIS)","Freeman Chair in China Studies, Center for Strategic and International Studies Jude Blanchette holds the Freeman Chair in China Studies at the Center for Strategic and International Studies (CSIS). Previously, he was engagement director at The Conference Board’s China Center for Economics and Business in Beijing, where he researched China’s political environment with a focus on the workings of the Communist Party of China and its impact on foreign companies and investors. Prior to working at The Conference Board, Blanchette was the assistant director of the 21st Century China Center at the University of California, San Diego. Blanchette has written for a range of publications, including Foreign Affairs and Foreign Policy, and his Chinese translations have appeared in the Wall Street Journal and the Financial Times. His book, China’s New Red Guards: The Return of Radicalism and the Rebirth of Mao Zedong, was published by Oxford University Press in 2019. Blanchette is a public intellectual fellow at the National Committee on United States-China Relations and serves on the board of the American Mandarin Society. He is also a senior advisor at Martin+Crumpton Group, a geopolitical risk advisory based in Arlington, Virginia. He holds an M.A. in modern Chinese studies from the University of Oxford and a B.A. in economics from Loyola University in Maryland. Mr. Blanchette testified before the Commission at its 2019 hearing on “What Keeps Xi Up at Night: Beijing’s Internal and External Challenges.”"
https://www.uscc.gov/hearings/assessment-ccps-economic-ambitions-plans-and-metrics-success,Ling Chen,https://www.uscc.gov/sites/default/files/2021-04/Ling_Chen_Bio.pdf,"Assistant Professor of Political Economy, School of Advanced International Studies, Johns Hopkins University Ling Chen is an Assistant Professor of Political Economy at the School of Advanced International Studies at Johns Hopkins University","Assistant Professor of Political Economy, School of Advanced International Studies, Johns Hopkins University Ling Chen is an Assistant Professor of Political Economy at the School of Advanced International Studies at Johns Hopkins University. She is also affiliated with the Fairbank Center for Chinese Studies at Harvard University as an Associate in Research. She has been selected as a 2021-2022 Wilson China Fellow by the Woodrow Wilson Center. Before joining SAIS, she was a Shorenstein Postdoctoral Fellow at Stanford University and a Rajawali Fellow at the Ash Center of Harvard Kennedy School. Chen studies state-business relations, as well as economic, tax, and industrial policies in China. Her work has been accepted by or published in journals such as American Journal of Political Science, The China Journal, Politics & Society, and World Development. She is the author of Manipulating Globalization: The Influence of Bureaucrats on Business in China (Stanford University Press, 2018). Chen’s research has been funded by institutions such as the Social Science Research Council (Andrew Mellon Foundation), Chiang Ching-Kuo Foundation, and Stanford University. She was recognized as an NCID Diversity Scholar by the University of Michigan and was the winner of the Catalyst Award at Johns Hopkins. In addition to academic outlets, Chen has also published in The Washington Post and Axios. Her comments have been quoted, among others, by Foreign Affairs, Foreign Policy, and National Committee on US-China Relations. Dr. Chen has not previously testified before the Commission."
https://www.uscc.gov/hearings/assessment-ccps-economic-ambitions-plans-and-metrics-success,Nigel Cory,https://www.uscc.gov/sites/default/files/2021-04/Nigel_Cory_Bio.pdf,"Associate Director for Trade Policy, Information Technology and Innovation Foundation Nigel Cory is an associate director covering trade policy at the Information Technology and Innovation Foundation","Associate Director for Trade Policy, Information Technology and Innovation Foundation Nigel Cory is an associate director covering trade policy at the Information Technology and Innovation Foundation. He focuses on digital and high-tech trade, including cross-border data flows, data governance, intellectual property, and how they each relate to innovation and the broader digital economy. Cory has provided in-person testimony and written submissions and has published reports and op-eds relating to these issues in the United States, the European Union, Australia, China, India, and New Zealand, among other countries and regions, and he has completed research projects for international bodies such as the Asia Pacific Economic Cooperation and the World Trade Organization. Cory previously worked as a researcher in the Southeast Asia Program at the Center for Strategic and International Studies. Prior to that, he worked for eight years in Australia’s Department of Foreign Affairs and Trade, which included positions working on G20 global economic and trade issues and postings to Malaysia and Afghanistan. Mr. Cory has not previously testified before the Commission."
https://www.uscc.gov/hearings/assessment-ccps-economic-ambitions-plans-and-metrics-success,Jason Kelly,https://www.uscc.gov/sites/default/files/2021-04/Jason_Kelly_Bio.pdf,"Co-Founder and CEO, Ginkgo Bioworks Dr","Co-Founder and CEO, Ginkgo Bioworks Dr. Jason Kelly is the co-founder and CEO of Ginkgo Bioworks. Ginkgo is a synthetic biology company headquartered in Boston, MA that programs cells for customers in the chemical, pharmaceutical, food and energy industries. The company recently raised over $930M in venture capital to expand their automated genetic engineering foundries and is the largest designer of synthetic DNA in the world. Ginkgo is valued at $4.5B and has been listed for the past three years on CNBC's Disruptor 50 List of fast-growing companies. Prior to Ginkgo, Jason received B.S. degrees in Chemical Engineering and Biology and a PhD in Biological Engineering all from MIT. Dr. Kelly has not previously testified before the Commission."
https://www.uscc.gov/hearings/assessment-ccps-economic-ambitions-plans-and-metrics-success,Joanna Moody,https://www.uscc.gov/sites/default/files/2021-04/Joanna_Moody_Bio.pdf,"Research Program Manager, Mobility Systems Center, MIT Energy Initiative Joanna Moody is the Research Program Manager for the MIT Energy Initiative's Mobility Systems Center: an industry-funded research consortium focused on the complex interactions between advanced technologies, alternative fuels, infrastructure, service models, consumer choice, and government policy and how they may shape the future of passenger and goods movement","Research Program Manager, Mobility Systems Center, MIT Energy Initiative Joanna Moody is the Research Program Manager for the MIT Energy Initiative's Mobility Systems Center: an industry-funded research consortium focused on the complex interactions between advanced technologies, alternative fuels, infrastructure, service models, consumer choice, and government policy and how they may shape the future of passenger and goods movement. Dr. Moody’s research leverages behavioral economics to explore the interactions between policies, attitudes, and individual travel behavior. Her research focuses on how decisions by key stakeholders (policymakers and consumers) will shape the use of new transportation technologies and services that have the potential to challenge the existing paradigm of reliance on gasoline-powered, single-occupancy privately-owned vehicles, and how these impacts vary across international urban contexts. As a contributor to the MIT Energy Initiative’s Mobility of the Future Study, Dr. Moody has published multiple peer-reviewed journal articles on transportation policymaking in Chinese cities, including investigations of policymaking processes and key enablers of urban mobility innovation. In particular, her research focuses on the adoption of car restriction policies among Chinese cities and their impacts on China’s market for internal combustion engine and battery electric vehicles. Dr. Moody received her doctoral and master’s degrees in Transportation from the Massachusetts Institute of Technology. She received a BS in Mathematics, Physics, and Japanese from Bates College. Dr. Moody has not previously testified before the Commission."
https://www.uscc.gov/hearings/assessment-ccps-economic-ambitions-plans-and-metrics-success,Martin Chorzempa,https://www.uscc.gov/sites/default/files/2021-04/Martin_Chorzempa_Bio.pdf,"Senior Fellow, Peterson Institute for International Economics Martin Chorzempa, senior fellow since January 2021, joined the Peterson Institute for International Economics as a research fellow in 2017","Senior Fellow, Peterson Institute for International Economics Martin Chorzempa, senior fellow since January 2021, joined the Peterson Institute for International Economics as a research fellow in 2017. He gained expertise in financial innovation while in Germany as a Fulbright Scholar and researcher at the Association of German Banks. He conducted research on financial liberalization in Beijing, first as a Luce Scholar at Peking University’s China Center for Economic Research and then at the China Finance 40 Forum, China’s leading independent think tank. In 2017, he graduated from the Harvard Kennedy School of Government with a masters in public administration in international development. He is working on a forthcoming book on fintech in China. He has been quoted in the Wall Street Journal, New York Times, Washington Post, Financial Times, MIT Technology Review, and Foreign Affairs. Mr. Chorzempa has not previously testified before the Commission."
https://www.uscc.gov/hearings/assessment-ccps-economic-ambitions-plans-and-metrics-success,Yaya Fanusie,https://www.uscc.gov/sites/default/files/2021-04/Yaya_Fanusie_Bio.pdf,"Adjunct Senior Fellow, Center for a New American Security Yaya J","Adjunct Senior Fellow, Center for a New American Security Yaya J. Fanusie is an Adjunct Senior Fellow at the Center for a New American Security (CNAS). His research focuses on the national security implications of cryptocurrencies and blockchain technology. Yaya spent seven years as both an economic and counterterrorism analyst in the CIA, where he regularly briefed federal law enforcement, U.S. military personnel, and White House-level policy makers—including President George W. Bush whom he personally briefed on terrorism threats. In 2009, he spent three months in Afghanistan providing analytic support to senior military officials. After leaving government service, Yaya worked for a small consulting firm focused on financial asset recovery cases involving global corruption. Later, as director of analysis at the Foundation for Defense of Democracies’ Center on Sanctions and Illicit Finance, Yaya led research work on sanctions evasion, terrorist financing, and Bitcoin money laundering. Yaya has testified before Congress multiple times on illicit financing issues. He has appeared on CNN, Fox News, and has been quoted in the New York Times, the Wall Street Journal, and the Washington Post. Yaya blogs at Forbes and is a frequent public speaker on cryptocurrencies and U.S. national security. Yaya is founder of Cryptocurrency AML Strategies, an advisory firm that helps financial institutions and technology firms address money laundering and terrorist financing risks associated with digital assets. In 2018, he developed and taught an Introduction to Blockchain Technology course at Morgan State University in Baltimore. Yaya received an MA in International Affairs from Columbia University’s School of International and Public Affairs and a BA in Economics from UC Berkeley. Mr. Fanusie has not previously testified before the Commission."
